,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
9849,0,0,1,2,0,3,1,1,1,0.5340616660020678,1.0043868887427472,1.6910330724019103,0.14531385869095723,0.5725941281955401,simulated,simulated,simulated,6
11012,0,0,1,2,1,1,1,3,2,0.5340021233149568,1.0819536260964044,1.6910330724019103,0.19124283978206297,0.6450737508611613,simulated,simulated,simulated,5
4031,0,1,2,1,3,3,1,1,2,0.5340015870248804,1.139421734157926,1.6910330724019103,0.22522739980261253,0.6759505115304334,simulated,simulated,simulated,5
1321,0,1,1,0,2,1,2,2,0,0.5339878126532676,0.9573725678962004,1.6910330724019103,0.11758558231572522,0.4751712487524943,simulated,simulated,simulated,5
8562,0,1,2,2,1,1,2,2,3,0.5339545781454513,1.127041095164763,1.6910330724019103,0.21795306222512234,0.6582397469572506,simulated,simulated,simulated,6
2851,0,1,1,2,2,1,2,2,2,0.533939896801259,1.0807189487283049,1.6910330724019103,0.1905749342905092,0.6605060485811324,simulated,simulated,simulated,5
3884,0,1,1,1,2,1,3,1,1,0.5339320870945825,1.0933504812756882,1.6910330724019103,0.19805245748388983,0.6441451650219319,simulated,simulated,simulated,5
3579,0,1,2,0,3,0,3,0,3,0.5339229376655585,1.0463449000885994,1.6910330724019103,0.1702646454257425,0.5627186146174521,simulated,simulated,simulated,4
14334,0,1,0,2,0,3,1,4,2,0.5339140400452131,1.1837906233164766,1.6910330724019103,0.2515526885997889,0.6935122429760587,simulated,simulated,simulated,3
10216,0,1,2,2,1,3,0,2,0,0.5339081919687145,1.1352170824101468,1.6910330724019103,0.2228343551690999,0.7050399757345218,simulated,simulated,simulated,5
11426,0,1,2,2,0,3,0,4,2,0.533887106554805,1.165927886225593,1.6910330724019103,0.2410164123089055,0.7177618281717034,simulated,simulated,simulated,3
7585,0,1,2,0,0,2,2,2,3,0.5338248690039212,0.9370100497555948,1.6910330724019103,0.10570705943616265,0.44440850759327,simulated,simulated,simulated,4
8588,0,1,1,1,2,1,3,0,3,0.5338123214040917,1.1138341833053715,1.6910330724019103,0.21028535234020385,0.6427923247078697,simulated,simulated,simulated,4
4578,0,1,0,2,1,3,1,1,2,0.5338014249983796,1.1319398971220285,1.6910330724019103,0.22100314390494444,0.683825849472299,simulated,simulated,simulated,5
8508,0,1,0,0,1,2,3,3,1,0.5337880115870685,0.9455181095139934,1.6910330724019103,0.1107751961918127,0.45608081302709735,simulated,simulated,simulated,5
3987,0,1,2,1,1,2,1,3,3,0.5337823589958743,1.0553208639030902,1.6910330724019103,0.17571320059865472,0.577524046580105,simulated,simulated,simulated,5
6319,0,1,1,2,0,3,2,0,3,0.5337731191935149,1.1505599181676351,1.6910330724019103,0.23204248275788497,0.686550837422659,simulated,simulated,simulated,3
11656,0,1,2,2,0,3,2,3,4,0.5337520146153893,1.2127989430057022,1.6910330724019103,0.2688689141234186,0.6967133442068754,simulated,simulated,simulated,3
15702,0,1,2,2,0,3,0,3,4,0.5337380893593451,1.1729078075962285,1.6910330724019103,0.24529303734631097,0.7141177373045111,simulated,simulated,simulated,3
