,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
120,2,0,6,1,8,4,7,5,3,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,1.0,1.0,2.0
121,2,5,3,8,0,1,7,6,4,0.6217436128175662,1.7530612423846796,52.86262995968926,-4.032391519123788e-16,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,1.0,1.0,2.0
122,1,3,5,1,3,5,4,0,2,0.49305718635109774,1.2026367759501255,3.584013028435441,0.011072418917791408,0.14511635752911667,"[AM-40]  Shipibo-Konibo (Pano-Tacanan, Panoan) ",americas,1.0,1.0,2.0
123,0,2,3,6,4,3,5,7,1,0.6097924488527509,1.701137896765747,6.032819713047294,0.005823347449458574,0.0473943227830087,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,2.0,1.0,3.0
124,4,5,5,0,2,2,1,3,3,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723351,"[AM-11]  Cree (Algic, Algonquian) ",americas,1.0,1.0,2.0
125,2,4,4,1,3,3,5,0,0,0.5512172984618937,1.5444138731623183,4.134385231454571,0.03843632677104143,0.22212212658723351,"[AM-19]  Kamaiura (Tupian, Tupi-Guarani)  ",americas,1.0,1.0,2.0
126,1,2,2,3,4,4,0,5,5,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872333,[AM-39]  Sahaptin (Yakima Ichishkíin) (Penutian) ,americas,1.0,1.0,2.0
127,2,6,4,1,3,0,5,3,7,0.5835370088884189,1.696880369355155,4.747346894495533,0.035599851439625366,0.13269550833606525,"[AM-47]  Yaqui (Uto-Aztecan, Cahitan)",americas,2.0,1.0,3.0
128,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,"[AM-30] Nahuatl, Guerrero (Uto-Aztecan, Aztec) ",americas,1.0,1.0,2.0
129,4,0,0,5,3,3,1,2,2,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723351,"[AM-22]  Kumeyaay (Cochimi-Yuman, Yuman) ",americas,1.0,1.0,2.0
130,5,4,4,3,2,2,1,0,0,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.2221221265872333,"[AM-32]  Nez Perce (Penutian, Sahaptian)",americas,1.0,1.0,2.0
131,7,4,5,1,2,0,6,8,3,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,0.0,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,1.0,1.0,2.0
132,1,0,0,1,2,2,1,2,2,0.3018971753426356,0.8787192885082256,2.4448872697576345,0.11593380524543657,0.7114726146356687,"Ewe (Atlantic-Congo, Gbe)",africa,2.0,1.0,3.0
133,1,2,2,1,2,2,3,0,0,0.42247902646109925,0.9938980534826948,3.1356738720339177,0.022174425652720233,0.21683813604746638,Nobiin (Nubian),africa,1.0,1.0,2.0
134,1,0,5,7,3,6,8,2,4,0.6217436128175664,1.7530612423846794,52.86262995968926,-6.720652531872981e-16,-2.220446049250313e-16,"Hausa (Afro-Asiatic, Chadic)",africa,1.0,1.0,2.0
135,2,1,1,2,1,1,0,3,3,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.2168381360474666,"Gidar (Afro-Asiatic, Chadic)",africa,1.0,1.0,2.0
136,3,1,1,2,0,0,3,1,1,0.408128539121005,1.2368162722998486,3.0082843144884097,0.11849685664436456,0.62790731656365,"Mambay (Atlantic-Congo, Mbumic)",africa,1.0,1.0,2.0
137,0,1,1,0,1,1,0,1,1,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699286,Penange (Dogon),africa,1.0,1.0,2.0
138,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,"Gonja (Atlantic-Congo, Guang)",africa,1.0,1.0,2.0
139,3,2,2,3,2,2,1,0,0,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.21683813604746638,"Somali (Afro-Asiatic, Cushitic)",africa,1.0,1.0,2.0
140,1,0,0,1,0,0,2,3,3,0.42247902646109925,0.9938980534826948,3.1356738720339177,0.022174425652720233,0.2168381360474666,"Miya (Afro-Asiatic, Chadic)",africa,1.0,1.0,2.0
141,4,1,2,4,1,2,5,3,0,0.4930571863510973,1.2026367759501249,3.584013028435441,0.011072418917791656,0.1451163575291161,"Swahili (Atlantic-Congo, Bantu)",africa,1.0,1.0,2.0
142,3,1,1,3,1,1,2,0,0,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.21683813604746638,Dime (South Omotic),africa,1.0,1.0,2.0
143,1,0,2,1,0,2,1,0,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,Bangime (Bangime),africa,1.0,1.0,2.0
144,0,1,1,0,1,1,0,1,1,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699286,Susu (Mande),africa,1.0,1.0,2.0
145,2,0,1,2,0,1,2,0,1,0.3236560826162733,0.857113354188883,2.5250395143645905,0.08228633500242082,0.5820761069607476,"Tswana (Atlantic-Congo, Bantu)",africa,1.0,1.0,2.0
146,2,1,1,5,3,3,4,0,0,0.5512172984618937,1.5444138731623183,4.134385231454571,0.03843632677104143,0.2221221265872333,"Zay (Afro-Asiatic, Semitic)",africa,1.0,1.0,2.0
147,0,1,1,4,3,3,5,2,2,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.22212212658723351,"Tigrinya (Afro-Asiatic, Semitic)",africa,1.0,1.0,2.0
148,2,0,1,2,0,1,2,0,1,0.3236560826162733,0.857113354188883,2.5250395143645905,0.08228633500242082,0.5820761069607476,Koyraboro Senni (Songhay),africa,1.0,1.0,2.0
149,0,2,4,1,5,3,1,5,3,0.46536621245004306,1.523051136955973,3.4226007209210354,0.13351931454703825,0.4429099651307904,Balese (Central Sudanic),africa,1.0,1.0,2.0
150,3,1,1,3,1,1,2,0,0,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.21683813604746638,"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",africa,1.0,1.0,2.0
151,5,4,4,1,0,0,3,2,2,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723307,Hamar (South Omotic),africa,1.0,1.0,2.0
152,6,4,3,8,5,2,0,1,7,0.6217436128175662,1.7530612423846799,52.86262995968926,-4.032391519123788e-16,2.220446049250313e-16,"Ngizim (Afro-Asiatic, Chadic)",africa,1.0,1.0,2.0
153,0,1,1,0,1,1,0,1,1,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699286,"Sango (Atlantic-Congo, Ubangi)",africa,1.0,1.0,2.0
154,0,2,2,1,2,2,1,2,2,0.34601401788528396,1.0840456263660467,2.6198646356048396,0.14397251159731858,0.6648329249687341,"Angolar (Indo-European, Lower Guinea Portuguese)",africa,2.0,1.0,3.0
155,0,1,1,5,2,2,3,4,4,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872334,Wolaytta (Ta-Ne-Omotic),africa,1.0,1.0,2.0
156,1,0,2,1,0,2,1,0,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,"Dii (Atlantic-Congo, Central Adamawa)",africa,1.0,1.0,2.0
157,0,1,2,0,1,2,0,1,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,Zialo (Mande),africa,1.0,1.0,2.0
158,5,1,4,5,1,4,2,3,0,0.49305718635109774,1.202636775950125,3.584013028435441,0.011072418917791283,0.14511635752911667,"Kikuyu (Atlantic-Congo, Bantu)",africa,1.0,1.0,2.0
159,1,3,3,1,3,3,2,0,0,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.2168381360474666,"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",africa,1.0,1.0,2.0
160,0,1,1,0,1,1,0,1,1,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699286,"	Kabiyé (Atlantic-Congo, Gur)",africa,1.0,1.0,2.0
161,1,0,0,1,0,0,1,0,0,0.2530727000273377,0.6483627970051893,2.2815964155502795,0.07382941664788613,0.7802821419699282,Loma (Mande),africa,1.0,1.0,2.0
