,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
16497,0,1,2,2,3,4,1,2,0,0.3387024861655681,1.3311932486811198,2.5838949306899157,0.24899834434274756,0.7631706694946553,simulated16498,simulated,1.0,1.0,2.0
16498,0,0,1,2,3,0,1,3,4,0.3468997997030441,1.1710891745970216,2.6198646356048396,0.17631117467950624,0.6712479267096696,simulated16499,simulated,2.0,2.0,4.0
16499,0,1,2,2,3,4,4,1,3,0.41773178591388005,1.449397758248196,3.0926223103792996,0.17454746675094912,0.5710639478679631,simulated16500,simulated,2.0,1.0,3.0
16500,0,1,2,3,1,4,4,1,4,0.48481457878711964,1.4428121954198132,3.53480594754582,0.08746842420369667,0.34824342284203214,simulated16501,simulated,3.0,2.0,5.0
16501,0,0,1,2,2,2,3,2,4,0.3657219619409464,1.1041313717168832,2.718250811461098,0.12679766284378607,0.6241152955501219,simulated16502,simulated,2.0,3.0,5.0
16502,0,1,2,2,1,3,2,0,4,0.3170614391233857,1.2013024076122796,2.501874440576735,0.2272452567452912,0.7630128467539612,simulated16503,simulated,3.0,1.0,4.0
16503,0,1,2,0,3,1,2,1,4,0.39134460956919814,1.14491317856639,2.8728009585384067,0.10925175041999322,0.4560534728846305,simulated16504,simulated,3.0,1.0,4.0
16504,0,0,1,2,3,4,1,3,3,0.38312237185889253,1.238292488313593,2.8203317734784683,0.15269503966916811,0.6143815873139526,simulated16505,simulated,2.0,3.0,5.0
16505,0,1,1,2,3,2,4,3,1,0.4746387365534839,1.4464001035505072,3.4702458230925357,0.10039391601135665,0.42740892203733305,simulated16506,simulated,3.0,3.0,6.0
16506,0,1,2,0,1,3,1,0,4,0.329912061067721,0.9789036327507267,2.548419075592298,0.12309016515920435,0.5666478822071473,simulated16507,simulated,2.0,1.0,3.0
16507,0,1,2,0,0,3,4,1,3,0.4135435395493272,1.0798339441896818,3.0501618296331334,0.06003000305821321,0.36926491494254854,simulated16508,simulated,3.0,2.0,5.0
16508,0,1,2,2,2,2,3,4,0,0.4190035045779481,1.3135161194743783,3.106906751279141,0.1287427958262636,0.5276644172191503,simulated16509,simulated,2.0,2.0,4.0
16509,0,1,2,3,1,3,0,4,2,0.4384003029278114,1.310575908930902,3.283554503333914,0.1019623335816707,0.4720949232666901,simulated16510,simulated,2.0,2.0,4.0
16510,0,1,0,2,2,1,0,3,4,0.3305476652486419,1.138407290401744,2.548419075592298,0.1850438184433045,0.7776642972329908,simulated16511,simulated,2.0,3.0,5.0
16511,0,1,2,3,2,0,2,4,1,0.3955516106511503,1.3991707860018898,2.899400473327413,0.19175013907017205,0.6135311635946681,simulated16512,simulated,1.0,1.0,2.0
16512,0,0,1,2,2,1,3,0,4,0.4009709618153694,1.1160085010153438,2.9397622458658725,0.08740433172574852,0.5573994269108116,simulated16513,simulated,3.0,2.0,5.0
16513,0,1,1,2,3,2,3,4,1,0.4385164197469118,1.4060627214727204,3.283554503333914,0.13092653580246053,0.5134969787554479,simulated16514,simulated,2.0,3.0,5.0
16514,0,1,2,0,1,3,0,1,4,0.3510851406471718,0.9413482185721833,2.644122190905652,0.08363325265927284,0.5263448730998476,simulated16515,simulated,2.0,1.0,3.0
16515,0,1,2,3,1,3,4,3,4,0.4671253971884237,1.4270817383972956,3.4226007209210354,0.1037202249573398,0.3896949326825828,simulated16516,simulated,2.0,2.0,4.0
16516,0,1,1,1,0,0,2,3,4,0.2952258797293694,1.0512963560970339,2.422457524130002,0.19494828432568725,0.6787902907402567,simulated16517,simulated,1.0,2.0,3.0
16517,0,1,2,3,4,4,1,2,2,0.4659737267763304,1.4682914758890557,3.4226007209210354,0.11691237009961739,0.44868631680630533,simulated16518,simulated,2.0,2.0,4.0
16518,0,1,2,3,4,1,1,2,2,0.4440194168509004,1.440985066094072,3.3139572210412993,0.13479586214293593,0.49677597362196635,simulated16519,simulated,2.0,2.0,4.0
