,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21358,7,1,5,2,0,6,4,3,3,0.7427875294769859,1.9394888769652547,5.3025282218759155,0.01501886515281579,0.07264739849842705,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real,3
21119,0,1,2,3,4,2,5,6,7,0.7382858190851929,1.8899667574354337,5.094928480937821,0.010505585524398647,0.07425300489400743,simulated,simulated,simulated,3
21208,7,5,6,4,2,6,0,1,3,0.7382858190851929,1.8899667574354337,5.094928480937821,0.010505585524398647,0.07425300489400743,"Bengali (Indo-European, Indo-Iranian)",asia,real,3
21273,1,4,3,6,5,3,2,7,0,0.7382858190851926,1.8899667574354335,5.094928480937821,0.01050558552439878,0.07425300489400755,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real,3
21217,0,4,5,3,2,5,7,6,1,0.7382858190851926,1.8899667574354335,5.094928480937821,0.01050558552439878,0.07425300489400743,"Limbu (Sino-Tibetan, Kiranti)",asia,real,3
21121,0,1,2,3,4,5,6,6,7,0.737460537122955,1.9236837660693533,5.063719571024866,0.01805761869697096,0.08707096239698442,simulated,simulated,simulated,3
21122,0,1,2,3,4,4,5,6,7,0.7316985402525313,1.9074891205552675,4.865469448226647,0.02134264162958708,0.10166441308761875,simulated,simulated,simulated,3
21125,0,1,2,3,1,4,5,6,7,0.7263271462623051,1.83808844143658,4.703794054834253,0.012785234050407067,0.09411361806092577,simulated,simulated,simulated,3
21241,6,7,3,5,7,2,1,4,0,0.7263271462623051,1.83808844143658,4.703794054834253,0.012785234050407067,0.09411361806092577,"[AM-41]  Tohono O'Odham  (Uto-Aztecan, Tepiman) ",americas,real,3
21109,0,1,2,3,4,5,6,7,6,0.720018664651366,1.9326059883171358,4.547490996651593,0.040429022382661044,0.13160902498120552,simulated,simulated,simulated,3
21336,1,5,4,6,7,3,0,2,0,0.720018664651366,1.9326059883171358,4.547490996651593,0.040429022382661044,0.1316090249812053,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real,3
21132,0,1,2,3,4,5,6,7,2,0.719919965955137,1.9114004338241795,4.547490996651593,0.035864588263768434,0.13301713018114525,simulated,simulated,simulated,3
21348,7,6,4,2,3,0,1,5,0,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223737,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real,3
21136,0,1,2,3,4,5,6,7,5,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223737,simulated,simulated,simulated,3
21362,7,4,2,3,0,1,5,6,1,0.7188968112568661,1.935516277973341,4.533541807646737,0.042318797119099125,0.13301053381223715,[OC-27]  Motuna (South Bougainville),oceania,real,3
21123,0,1,2,3,3,4,5,6,7,0.7186038054201755,1.868505631047878,4.519635407044111,0.027915510152282382,0.13383855577100467,simulated,simulated,simulated,3
21022,0,1,2,3,4,2,5,6,6,0.7162790001719985,1.8267587999061798,4.464435069664186,0.02125095165907837,0.12345541754959033,simulated,simulated,simulated,4
21083,0,1,2,3,4,2,5,5,6,0.7109520078179672,1.810953689010278,4.369451783408292,0.023481807869267856,0.13362823528959056,simulated,simulated,simulated,4
20744,0,1,2,3,4,4,5,6,6,0.709691721339337,1.8442811630260136,4.342686770398278,0.03256496933886262,0.15530754689738724,simulated,simulated,simulated,3
21127,0,1,2,0,3,4,5,6,7,0.7090537145946179,1.76251351603778,4.3293658075654164,0.014417857966593587,0.11386958458458407,simulated,simulated,simulated,3
21270,2,7,5,2,6,3,1,4,0,0.7090537145946176,1.7625135160377798,4.3293658075654164,0.014417857966593844,0.11386958458458463,"[AM-43]  Totonac, Upper Necaxa (Totonacan, Totonac) ",americas,real,3
21116,0,1,2,3,4,5,6,5,7,0.7066162954413409,1.9271365276273065,4.289647586200432,0.055378090245064966,0.1625595082672049,simulated,simulated,simulated,2
21135,0,1,2,3,4,5,6,1,7,0.7050667885166799,1.8794394070322102,4.263371412633534,0.046086595140482856,0.16969586194091546,simulated,simulated,simulated,3
21115,0,1,2,3,4,5,6,7,4,0.7046466993210603,1.9244962932396386,4.263371412633534,0.057075054259002646,0.16632570170764072,simulated,simulated,simulated,2
20656,0,1,2,3,4,4,5,5,6,0.7043647289853059,1.828476052130112,4.250293745481141,0.03494150622492048,0.16779496940131333,simulated,simulated,simulated,4
20772,0,1,2,3,1,4,5,6,6,0.7043203273491105,1.7748804839073262,4.250293745481141,0.02237605747612357,0.13781654421770761,simulated,simulated,simulated,4
21118,0,1,2,3,4,5,6,4,7,0.7041934154392613,1.9140089364754465,4.250293745481141,0.05523681342111507,0.1687977165224681,simulated,simulated,simulated,3
21242,2,1,7,3,0,5,4,0,6,0.7041934154392608,1.914008936475446,4.250293745481141,0.05523681342111539,0.16879771652246822,"[AM-47]  Yaqui (Uto-Aztecan, Cahitan)",americas,real,3
21274,6,2,5,7,0,3,4,0,1,0.7041934154392608,1.9140089364754465,4.250293745481141,0.05523681342111549,0.16879771652246822,Bora (Boran),americas,real,3
21110,0,1,2,3,4,1,5,6,7,0.7016390133485144,1.8689423445061957,4.211300942527361,0.04761321520509333,0.1739679507165216,simulated,simulated,simulated,2
20886,0,1,2,3,1,2,4,5,6,0.6998186169573177,1.7253583643775046,4.185504680180713,0.015427155697228167,0.1235541438866139,simulated,simulated,simulated,3
20690,0,1,2,3,1,4,5,5,6,0.6989933349950792,1.7590753730114244,4.172665865126976,0.024381304960421596,0.14731598935368295,simulated,simulated,simulated,4
21131,0,1,2,3,2,4,5,6,7,0.6987638015718189,1.8660526489087375,4.172665865126976,0.05024847133947996,0.1794268145772987,simulated,simulated,simulated,2
21129,0,1,2,3,4,5,6,2,7,0.6978156226758911,1.8982398821011728,4.1598664324618815,0.059089226652329796,0.18334614003697147,simulated,simulated,simulated,2
21112,0,1,2,3,4,5,6,7,1,0.6976959547910491,1.8959420295767602,4.147106261382031,0.05883683620816716,0.18557095495827614,simulated,simulated,simulated,2
20750,0,1,2,3,3,4,5,6,6,0.6965969865069805,1.8052976735186248,4.1343852314545755,0.03819494499566241,0.18517685023699249,simulated,simulated,simulated,4
20732,0,1,2,3,4,5,6,6,6,0.696426035873076,1.8339673654960953,4.1343852314545755,0.04530034667185254,0.1857641700016126,simulated,simulated,simulated,3
21256,6,3,0,5,2,4,1,1,1,0.696426035873076,1.8339673654960948,4.1343852314545755,0.045300346671852426,0.18576417000161283,"[AM-28]  Musqueam (Salishan, Central Salish)",americas,real,3
21144,0,1,2,3,4,3,5,6,7,0.6943666725077149,1.8918302422028832,4.1090601151714585,0.06172653199594542,0.19151392386922628,simulated,simulated,simulated,3
21142,0,1,1,2,3,4,5,6,7,0.6938381172079393,1.7981761891295345,4.096455789792684,0.03958366703630141,0.1918026079027243,simulated,simulated,simulated,3
20901,0,1,2,3,4,2,5,6,5,0.6935101353463786,1.8198759112580605,4.096455789792684,0.04520884316579399,0.1712065725679166,simulated,simulated,simulated,4
20891,0,1,2,3,4,5,6,6,2,0.6925861546879111,1.832387365399024,4.083890127517835,0.04933667575767224,0.1970843381870644,simulated,simulated,simulated,4
20859,0,1,2,3,3,2,4,5,6,0.6920952761151873,1.7557755539888031,4.071363009749871,0.031163352924260798,0.17264455636161102,simulated,simulated,simulated,4
21140,0,1,2,3,4,5,5,6,7,0.6920212879327099,1.9181773824547579,4.071363009749871,0.07112615182615682,0.19569104073324728,simulated,simulated,simulated,2
21081,0,1,2,3,4,5,6,6,5,0.6915629999896407,1.8565032095481855,4.071363009749871,0.0564361533700819,0.19693265609320398,simulated,simulated,simulated,4
20977,0,1,2,3,3,4,5,5,6,0.6912699941529488,1.789492562622723,4.071363009749871,0.04027013878413177,0.1956125577268628,simulated,simulated,simulated,3
21143,0,1,2,3,4,5,6,7,3,0.6877657411193898,1.9127828945951666,4.021637624515464,0.0749479691677782,0.2046322956823584,simulated,simulated,simulated,2
21124,0,1,2,3,4,5,4,6,7,0.6876436295060642,1.9026536002336596,4.021637624515464,0.07255138185612862,0.20546657501419485,simulated,simulated,simulated,2
20663,0,1,2,0,3,4,5,6,6,0.6870468956814242,1.6993055585085268,4.0093014630201,0.02265355777369647,0.1510818210242314,simulated,simulated,simulated,4
20940,0,1,2,3,4,4,5,6,5,0.6869228565137178,1.8373982743778945,4.0093014630201,0.057220683135611516,0.20849068214906785,simulated,simulated,simulated,4
20904,0,1,2,3,4,4,5,6,2,0.6868241578174878,1.8161927198849381,4.0093014630201,0.05203029227632993,0.2107595028183712,simulated,simulated,simulated,4
21113,0,1,2,3,4,5,6,3,7,0.6859683917264983,1.8999121023007546,3.9970031420500796,0.0739936109390234,0.21019359776789803,simulated,simulated,simulated,2
21137,0,1,2,3,4,5,0,6,7,0.685826737337794,1.83693558749385,3.9970031420500796,0.05837933205252805,0.2161061310543828,simulated,simulated,simulated,3
21111,0,1,2,3,4,5,3,6,7,0.6849499244305719,1.885797907244054,3.984742545531579,0.07170018223269246,0.21341813814067634,simulated,simulated,simulated,3
20856,0,1,2,3,4,2,5,6,2,0.683123408263226,1.7844417480183683,3.972519557746834,0.04823558872467486,0.19388729051024545,simulated,simulated,simulated,3
20964,0,1,2,0,3,2,4,5,6,0.6825451852896309,1.6497834389787052,3.960334063333038,0.01496073836635915,0.13012808781883123,simulated,simulated,simulated,3
20722,0,1,2,0,3,4,5,5,6,0.6817199033273924,1.683500447612625,3.9481859472812464,0.024373737413698946,0.159490480970088,simulated,simulated,simulated,4
20971,0,1,2,3,1,4,5,6,5,0.6815514625234906,1.7679975952592069,3.9481859472812464,0.045943689892796,0.18286927503993866,simulated,simulated,simulated,4
20933,0,1,2,3,1,4,5,6,2,0.6814527638272616,1.7467920407662505,3.9481859472812464,0.040671427145945405,0.18489895034553672,simulated,simulated,simulated,4
20851,0,1,2,3,1,4,5,6,4,0.6804296091289908,1.770907884915412,3.936075094935308,0.04794841384617246,0.1847693187495748,simulated,simulated,simulated,4
21047,0,1,2,3,4,1,5,6,6,0.6796321944353201,1.8057343869769422,3.9240013919907644,0.0577706854012191,0.22372299754213276,simulated,simulated,simulated,3
20710,0,1,2,3,4,2,5,1,6,0.6785582592116919,1.7667093299731347,3.911964724493786,0.0490496218235944,0.20600793687402097,simulated,simulated,simulated,4
21102,0,1,2,3,4,2,5,6,4,0.6781381700160729,1.8117662161805632,3.911964724493786,0.0609874238261096,0.201901722013744,simulated,simulated,simulated,3
20490,0,1,2,3,1,2,4,5,5,0.6778117980441238,1.6621504068482507,3.911964724493786,0.023068100893007388,0.15812189754171813,simulated,simulated,simulated,4
20839,0,1,2,3,4,2,5,4,6,0.677684886134273,1.8012788594163711,3.911964724493786,0.05875986636531558,0.20266652047013667,simulated,simulated,simulated,4
20814,0,1,2,3,4,5,6,6,4,0.6773128880538344,1.845483224814483,3.8999649788400923,0.07064778324272591,0.22919875828851544,simulated,simulated,simulated,3
20849,0,1,2,3,2,4,5,6,6,0.6767569826586253,1.8028446913794842,3.8999649788400923,0.06027063317042664,0.2281272394952648,simulated,simulated,simulated,3
21126,0,1,2,3,4,5,6,0,7,0.6759691764210212,1.8597022644802181,3.8880020417738694,0.07586898487142922,0.2352571555889973,simulated,simulated,simulated,2
20941,0,1,2,0,3,3,4,5,6,0.6759579064569696,1.6673058020985392,3.8880020417738694,0.026395593995668133,0.16876476182884215,simulated,simulated,simulated,4
21138,0,1,2,3,4,5,1,6,7,0.6743314301438599,1.861041246544709,3.876075800386719,0.07808801869911718,0.23734662903544979,simulated,simulated,simulated,2
21134,0,1,2,3,0,4,5,6,7,0.6743269472388669,1.8080919949259349,3.876075800386719,0.06443197112287154,0.23368287639442387,simulated,simulated,simulated,2
20804,0,1,2,3,4,1,5,5,6,0.6743052020812887,1.7899292760810404,3.876075800386719,0.05976786394415584,0.23356781592203446,simulated,simulated,simulated,3
20949,0,1,2,3,3,4,5,6,5,0.6738281216813606,1.7984147848705054,3.8641861421165755,0.0626256814711664,0.23740422368579206,simulated,simulated,simulated,4
20718,0,1,2,3,2,2,4,5,6,0.6737632596916967,1.7276162639891064,3.8641861421165755,0.044368827508860176,0.20795054649340805,simulated,simulated,simulated,4
20916,0,1,2,3,3,4,5,6,2,0.6737294229851314,1.7772092303775489,3.8641861421165755,0.05723666458821248,0.24002367438277017,simulated,simulated,simulated,4
20833,0,1,2,3,3,4,5,6,4,0.6727062682868612,1.8013250745267106,3.852332954746657,0.06469878840875407,0.23972954807309832,simulated,simulated,simulated,4
18187,0,1,2,3,1,2,4,4,5,0.6724848056900927,1.646345295952349,3.852332954746657,0.024690140992990207,0.16681043640944737,simulated,simulated,simulated,4
20832,0,1,2,3,4,5,6,5,5,0.6724580022901065,1.8391841017171555,3.852332954746657,0.07477461283183762,0.24060357402332633,simulated,simulated,simulated,4
20837,0,1,2,3,4,3,5,6,6,0.6723598535945206,1.8286222846736293,3.852332954746657,0.07213109377243043,0.2415060133666196,simulated,simulated,simulated,4
20749,0,1,2,3,4,4,5,1,6,0.6719709803790306,1.7842316930929687,3.852332954746657,0.06099692572899585,0.24481741622740916,simulated,simulated,simulated,4
20810,0,1,1,2,3,4,5,6,6,0.671831298294745,1.7349682316002806,3.852332954746657,0.04834865254789142,0.2391079496210209,simulated,simulated,simulated,3
21080,0,1,2,3,2,4,5,5,6,0.6714299903045935,1.7870395804835824,3.840516126404401,0.06245781607960112,0.24052452024721682,simulated,simulated,simulated,3
21067,0,1,2,3,4,2,5,6,1,0.6711874254860626,1.7832119525176848,3.840516126404401,0.061703736738879085,0.21801768703110846,simulated,simulated,simulated,3
21133,0,1,2,3,4,5,2,6,7,0.6706715563950443,1.883787178470023,3.840516126404401,0.08840755105446267,0.24259222853068785,simulated,simulated,simulated,2
20743,0,1,2,0,1,3,4,5,6,0.6705865124667427,1.5979051229798513,3.840516126404401,0.01405414814884291,0.12924450310379376,simulated,simulated,simulated,3
21141,0,1,2,3,4,5,6,7,0,0.6704224054730548,1.8798459902452473,3.840516126404401,0.08763048880742545,0.24312382448013503,simulated,simulated,simulated,2
20766,0,1,2,3,4,5,6,6,1,0.6703621435238241,1.8169289611516046,3.828735545560402,0.0715276217370903,0.24721121486076747,simulated,simulated,simulated,3
18577,0,1,2,3,3,2,4,5,5,0.6700884572019934,1.6925675964595492,3.828735545560402,0.03932025440237943,0.21526034740693745,simulated,simulated,simulated,5
20925,0,1,2,3,4,5,5,6,6,0.6700144690195162,1.8549694249255042,3.828735545560402,0.08181081237230704,0.24407045507267522,simulated,simulated,simulated,3
19783,0,1,2,3,4,2,5,5,5,0.66991750656809,1.72123728843702,3.828735545560402,0.046979236433675735,0.21665625029055524,simulated,simulated,simulated,4
21065,0,1,2,3,1,4,5,4,6,0.6681490933134648,1.7625281345693773,3.8169911010273734,0.05971218240659968,0.20634386036994778,simulated,simulated,simulated,3
21139,0,1,2,1,3,4,5,6,7,0.6678804315946443,1.8025513327622829,3.8052826819590813,0.07068312036651075,0.24615096669033343,simulated,simulated,simulated,2
20975,0,1,2,3,1,1,4,5,6,0.6675114284953749,1.6853244778522836,3.8052826819590813,0.040245777470573424,0.20498821502122566,simulated,simulated,simulated,4
20739,0,1,2,3,4,3,5,5,6,0.667032861240489,1.8128171737777277,3.8052826819590813,0.07422847742232559,0.2522302606613638,simulated,simulated,simulated,4
20719,0,1,1,2,3,4,5,5,6,0.6665043059407143,1.719163120704379,3.7936101778493128,0.05029932274648925,0.2522128413122635,simulated,simulated,simulated,4
20752,0,1,2,3,4,5,4,6,6,0.6656368105928698,1.8394456427044061,3.7936101778493128,0.08287342904301546,0.25336652382180613,simulated,simulated,simulated,3
18903,0,1,2,3,3,2,4,4,5,0.6647614648479627,1.6767624855636476,3.7819734785308268,0.04098921654700802,0.22470236413064548,simulated,simulated,simulated,4
20989,0,1,2,3,4,4,5,2,6,0.6647198145382418,1.8030321681619312,3.7819734785308268,0.07441811383640241,0.2582477788477131,simulated,simulated,simulated,3
21104,0,1,2,3,4,4,5,6,1,0.6646001466534004,1.8007343156375188,3.7819734785308268,0.07393020143612104,0.25867544640280626,simulated,simulated,simulated,3
21007,0,1,2,0,3,4,5,6,5,0.6642780308558047,1.6924226698604075,3.7819734785308268,0.04561339462043952,0.1904567853695569,simulated,simulated,simulated,4
20957,0,1,2,0,3,4,5,6,2,0.6641793321595748,1.671217115367451,3.7819734785308268,0.04010508559614095,0.19261787208416448,simulated,simulated,simulated,4
20748,0,1,2,3,4,5,0,6,6,0.6638199184246001,1.7737276299645965,3.7703724741743097,0.06777670464170125,0.26652396266062106,simulated,simulated,simulated,4
20825,0,1,2,3,4,4,5,6,4,0.6636802533532791,1.8107317191393388,3.7703724741743097,0.07773080832040306,0.2599472839638949,simulated,simulated,simulated,4
20023,0,1,2,3,4,4,5,5,5,0.6633302277354283,1.738759651556854,3.7703724741743097,0.05899198580044582,0.2585195129026998,simulated,simulated,simulated,4
20983,0,1,2,3,4,5,6,2,2,0.6632555098476791,1.7942076961895044,3.7703724741743097,0.07377295486429218,0.2640893243337096,simulated,simulated,simulated,4
20884,0,1,2,0,3,4,5,6,4,0.6631561774613048,1.6953329595166127,3.7703724741743097,0.04764815757908944,0.19245834348225999,simulated,simulated,simulated,4
20900,0,1,2,3,4,5,3,6,6,0.6629431055173778,1.8225899497148008,3.7703724741743097,0.08161306467189179,0.2603309092583108,simulated,simulated,simulated,4
20947,0,1,2,3,4,5,6,5,6,0.6618406117025257,1.8570456814499332,3.75880705528735,0.09213395474248158,0.2633743715330714,simulated,simulated,simulated,3
20650,0,1,2,3,4,5,6,5,2,0.6617419130062967,1.8358401269569768,3.75880705528735,0.08659108839399057,0.26617635662160954,simulated,simulated,simulated,3
20978,0,1,2,3,4,2,5,6,3,0.6612572118144024,1.8000528175360917,3.747277112713391,0.07779301723577932,0.23511040597037203,simulated,simulated,simulated,3
