,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
13621,0,1,2,0,0,1,3,1,4,0.3831725472578815,1.0074994175299585,2.8949501788604737,0.06484488697832698,0.40625925703507537,simulated,simulated,simulated,5
17665,0,1,2,2,3,4,3,3,0,0.3831704064740742,1.3867682770339296,2.8949501788604737,0.19585752399570366,0.6265265484570426,simulated,simulated,simulated,4
4575,0,1,2,0,3,3,3,3,2,0.38317005725245257,1.10939007737031,2.8949501788604737,0.10004337468498697,0.4435640410671424,simulated,simulated,simulated,6
14974,0,1,1,0,2,3,2,3,4,0.38316855375780623,1.111887732837818,2.8949501788604737,0.1009076410298358,0.44208845743376346,simulated,simulated,simulated,4
12721,0,1,0,2,3,3,0,4,4,0.38315708259287984,1.2802323117168215,2.8949501788604737,0.1590702265414928,0.6683865981564345,simulated,simulated,simulated,4
6752,0,1,1,0,2,3,3,2,2,0.38315683759782004,1.0989497304330709,2.8949501788604737,0.09645019481900712,0.4421435326816763,simulated,simulated,simulated,5
8529,0,1,1,2,1,3,0,3,0,0.3831539150887042,1.1754578219481226,2.8949501788604737,0.12288123760243012,0.5952374416896362,simulated,simulated,simulated,6
5214,0,1,1,2,3,1,3,0,2,0.3831522747152576,1.2976215993037818,2.8949501788604737,0.16508180017071256,0.6093129325283603,simulated,simulated,simulated,4
12589,0,0,1,2,3,1,1,4,3,0.3831431207741052,1.2187654563970327,2.8949501788604737,0.137851748586819,0.5801095153838749,simulated,simulated,simulated,4
7400,0,1,2,3,2,2,3,3,0,0.38314234103974454,1.3031819276800416,2.8949501788604737,0.16701243300604623,0.6012999013396862,simulated,simulated,simulated,6
9950,0,1,1,2,0,0,3,3,2,0.38312598433921474,1.2238338444541557,2.8949501788604737,0.13961965368575532,0.5928568739063641,simulated,simulated,simulated,3
16551,0,1,2,2,3,3,3,3,4,0.383095908614993,1.3626078232060497,2.8949501788604737,0.18758629832409873,0.623343354858003,simulated,simulated,simulated,5
16651,0,1,2,1,1,3,3,2,4,0.38309043758326133,1.2106290770647634,2.8949501788604737,0.1350938896855457,0.5222940147989257,simulated,simulated,simulated,4
9689,0,1,2,3,2,1,0,2,1,0.3830862586253967,1.2776418572250365,2.8949501788604737,0.15824623217645292,0.6484860948252309,simulated,simulated,simulated,3
5054,0,1,1,2,0,0,3,3,0,0.38307724479606353,1.2144268968353955,2.8949501788604737,0.13641895989238428,0.5957653251236894,simulated,simulated,simulated,4
6052,0,1,2,3,3,2,3,3,2,0.3830741274309777,1.2537838648700448,2.8949501788604737,0.15001711883091137,0.5986555963638907,simulated,simulated,simulated,4
13056,0,1,1,2,2,3,1,4,0,0.38307121874923467,1.2560170378006095,2.8949501788604737,0.15079143040133686,0.6256205538875118,simulated,simulated,simulated,4
15070,0,0,1,2,2,1,3,2,4,0.38302741313216093,1.1214090286810887,2.8949501788604737,0.10433771419490687,0.5659263148201795,simulated,simulated,simulated,5
8128,0,1,2,1,1,3,3,3,2,0.38300104514117206,1.173814527471396,2.8949501788604737,0.12246646583760179,0.5157957087802465,simulated,simulated,simulated,5
18918,0,1,2,2,3,0,3,4,5,0.38298675505404023,1.411849040752361,2.8949501788604737,0.204704800752566,0.6300646031439865,simulated,simulated,simulated,2
9699,0,1,2,3,3,2,2,3,3,0.3829764430998073,1.3061607201523124,2.8949501788604737,0.16820729251292943,0.5963750286160172,simulated,simulated,simulated,6
19119,0,0,1,2,3,4,0,5,3,0.38294887822983537,1.164601056585734,2.8949501788604737,0.11933603190387364,0.6375362519839707,simulated,simulated,simulated,4
15364,0,0,0,1,2,2,3,4,4,0.38291634830401433,1.1258922081431537,2.8949501788604737,0.10599739961583678,0.6045185244550939,simulated,simulated,simulated,3
9971,0,1,1,2,3,3,0,0,2,0.38290861367920037,1.2223190189059208,2.8949501788604737,0.1393137595382105,0.6546790220085843,simulated,simulated,simulated,4
15959,0,1,1,2,3,2,1,3,4,0.382898837128415,1.319942339410272,2.8949501788604737,0.17304547065533724,0.6405156942442045,simulated,simulated,simulated,5
14590,0,1,2,3,0,2,3,4,0,0.38288797180506506,1.3016393975403238,2.8949501788604737,0.16673396746139793,0.5832915441520963,simulated,simulated,simulated,4
9168,0,1,2,3,0,2,1,1,1,0.3828853920210762,1.233808152926858,2.8949501788604737,0.1433056622827428,0.5857828285764044,simulated,simulated,simulated,5
11173,0,1,2,1,3,0,4,3,4,0.3828597689848885,1.3232598214797267,2.8949501788604737,0.17423049360446963,0.5936235570490728,simulated,simulated,simulated,4
11962,0,1,2,3,4,0,1,0,0,0.3828467756348597,1.3636898129037949,2.8949501788604737,0.1882091820187162,0.6467717875129484,simulated,simulated,simulated,4
12550,0,1,2,3,0,4,2,3,4,0.3828383331584382,1.3578795810768263,2.8949501788604737,0.18621060141425844,0.6016499001119935,simulated,simulated,simulated,3
12664,0,1,1,1,2,2,3,4,3,0.38282936549854685,1.240166554091587,2.8949501788604737,0.1455580655205466,0.5865680243749001,simulated,simulated,simulated,3
9958,0,1,1,2,3,3,3,2,2,0.3828051467511375,1.3264454559755912,2.8949501788604737,0.17538552665673024,0.6241146555942204,simulated,simulated,simulated,2
