,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
19122,0,1,2,3,0,4,5,1,3,0.5218294788195217,1.5611997755325508,2.930744680085729,0.1644090625036644,0.5114557698856388,simulated,simulated,simulated,3
18718,0,1,2,3,4,5,0,2,0,0.5218145093929658,1.5852706864863604,2.930744680085729,0.1726372724480212,0.5413143183022584,simulated,simulated,simulated,4
16646,0,1,2,3,1,2,1,1,4,0.5217990070146654,1.3922251141026212,2.930744680085729,0.10678365504407826,0.4049118098198421,simulated,simulated,simulated,5
20296,0,1,2,3,4,5,0,0,0,0.5217985165097936,1.529188424979344,2.930744680085729,0.15351742525338224,0.5342494018196066,simulated,simulated,simulated,4
13742,0,1,2,3,1,4,3,1,2,0.5217985025761849,1.477273136520113,2.930744680085729,0.13580341284686218,0.46958086218306705,simulated,simulated,simulated,4
16156,0,1,1,2,3,4,4,4,4,0.5217745340990314,1.4972193093355461,2.930744680085729,0.14263321908633128,0.5088751794206227,simulated,simulated,simulated,5
12693,0,1,2,3,1,2,4,0,1,0.5217617175953739,1.4396787703213876,2.930744680085729,0.12301261634158274,0.41401139519345387,simulated,simulated,simulated,3
12217,0,1,2,0,0,2,3,4,2,0.5217521948386548,1.2837947520462176,2.930744680085729,0.06983292089912055,0.3390064054111658,simulated,simulated,simulated,5
15014,0,1,2,0,3,3,2,2,4,0.5217140556210447,1.3986568280306753,2.930744680085729,0.10906317288074587,0.40661459373598563,simulated,simulated,simulated,5
16799,0,1,1,2,3,2,4,4,1,0.5217077163507629,1.4770016821587997,2.930744680085729,0.13580157607337268,0.5235535603035659,simulated,simulated,simulated,5
14412,0,1,2,3,4,2,1,4,2,0.5216953235632911,1.5386095182131385,2.930744680085729,0.1568351913757095,0.48884116312349923,simulated,simulated,simulated,4
20554,0,1,2,3,4,3,1,5,1,0.5216807698827364,1.6073902386264538,2.930744680085729,0.18031842893059716,0.5340103885987246,simulated,simulated,simulated,3
18193,0,0,1,2,3,3,4,2,5,0.5216292545031076,1.4389161277468974,2.930744680085729,0.12288485800286865,0.49526575400489037,simulated,simulated,simulated,4
18882,0,1,2,3,4,5,5,2,0,0.5216170790213934,1.6701698957036677,2.930744680085729,0.2018031796010046,0.523870127572279,simulated,simulated,simulated,2
